,0,1
Start,2017-03-21 00:00:00,2021-05-24 00:00:00
End,2021-05-21 00:00:00,2024-10-03 00:00:00
Period,1051 days 00:00:00,847 days 00:00:00
Start Value,100.0,100.0
End Value,222.97021186051055,10.600622432768134
Total Return [%],122.97021186051053,-89.39937756723187
Benchmark Return [%],177.77234024293347,-82.13572860623894
Max Gross Exposure [%],100.0,100.0
Total Fees Paid,0.0,0.0
Max Drawdown [%],80.89031231199418,94.26966358913728
Max Drawdown Duration,825 days 00:00:00,760 days 00:00:00
Total Trades,13,15
Total Closed Trades,12,14
Total Open Trades,1,1
Open Trade PnL,203.43422444821678,2.4083347149888397
Win Rate [%],0.0,0.0
Best Trade [%],-9.760584709509116,-8.739119547949164
Worst Trade [%],-15.478930484597347,-46.73052961295759
Avg Winning Trade [%],,
Avg Losing Trade [%],-12.700237862768638,-15.71504795480934
Avg Winning Trade Duration,,
Avg Losing Trade Duration,35 days 14:00:00,24 days 01:42:51.428571428
Profit Factor,0.0,0.0
Expectancy,-6.705334382308853,-6.557693734444336
Sharpe Ratio,0.7310752468314303,-0.552421236373182
Calmar Ratio,0.3969812240197188,-0.6575022149692697
Omega Ratio,1.1293089731275168,0.9113075597335906
Sortino Ratio,1.1882839786422241,-0.687953671246824
